epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,10833.2,1.32792,0.57905,1.19994,0.91585,0.96108,0.97586,0.58148,1.49462,0.56293,1.26926,0.000118687,0.000118687,0.000118687
159,10897.5,1.29373,0.56704,1.19081,0.92569,0.94849,0.97477,0.59428,1.45685,0.55473,1.25122,0.000113873,0.000113873,0.000113873
160,10961.8,1.33321,0.60179,1.21536,0.9291,0.94078,0.97397,0.58052,1.48812,0.56759,1.26456,0.000109156,0.000109156,0.000109156
161,11026.2,1.28214,0.59122,1.18598,0.92563,0.95262,0.97656,0.57498,1.49401,0.56422,1.26654,0.000104537,0.000104537,0.000104537
162,11090.5,1.28501,0.55566,1.19697,0.93268,0.93774,0.97506,0.58509,1.48254,0.5635,1.26134,0.000100016,0.000100016,0.000100016
163,11154.9,1.27545,0.58427,1.19069,0.95123,0.92409,0.97779,0.58617,1.49378,0.5575,1.26822,9.55951e-05,9.55951e-05,9.55951e-05
164,11219.2,1.31983,0.60808,1.20752,0.93566,0.9357,0.97847,0.59687,1.4586,0.55473,1.2532,9.12754e-05,9.12754e-05,9.12754e-05
165,11283.6,1.28666,0.55393,1.17775,0.92795,0.94924,0.97671,0.58695,1.46668,0.54851,1.25659,8.70577e-05,8.70577e-05,8.70577e-05
166,11347.9,1.30554,0.5773,1.19976,0.92193,0.94755,0.97567,0.58389,1.47923,0.56604,1.2621,8.29431e-05,8.29431e-05,8.29431e-05
167,11412.1,1.28358,0.57091,1.18509,0.93602,0.94061,0.97576,0.58484,1.47138,0.55181,1.25616,7.89327e-05,7.89327e-05,7.89327e-05
168,11476.3,1.28273,0.5856,1.19289,0.94348,0.93212,0.97545,0.58186,1.48957,0.55841,1.265,7.50274e-05,7.50274e-05,7.50274e-05
169,11540.5,1.30274,0.56541,1.20468,0.93629,0.94247,0.97708,0.59919,1.44324,0.54844,1.24196,7.12282e-05,7.12282e-05,7.12282e-05
170,11604.7,1.28363,0.56345,1.18481,0.94319,0.93401,0.97701,0.59112,1.46908,0.55145,1.25475,6.7536e-05,6.7536e-05,6.7536e-05
171,11668.6,1.29547,0.56911,1.20517,0.93028,0.94585,0.97675,0.59372,1.45491,0.55125,1.24816,6.39518e-05,6.39518e-05,6.39518e-05
172,11732.1,1.29075,0.56719,1.18866,0.93326,0.94755,0.97649,0.5845,1.47793,0.54904,1.25986,6.04763e-05,6.04763e-05,6.04763e-05
173,11795.6,1.26449,0.56318,1.18397,0.93941,0.94078,0.97683,0.58367,1.47938,0.55343,1.26032,5.71106e-05,5.71106e-05,5.71106e-05
174,11859,1.27238,0.57018,1.19845,0.93904,0.93827,0.97749,0.58812,1.4562,0.54688,1.24938,5.38554e-05,5.38554e-05,5.38554e-05
175,11922.2,1.29764,0.57449,1.21108,0.93863,0.94078,0.97695,0.58319,1.48213,0.55486,1.26144,5.07115e-05,5.07115e-05,5.07115e-05
176,11985.5,1.2731,0.56809,1.19056,0.94161,0.93739,0.9773,0.59383,1.4526,0.55034,1.2462,4.76796e-05,4.76796e-05,4.76796e-05
